false_positive_rate,true_positive_rate,thresholds
0.0,0.0,inf
0.0,0.0005181347150259067,0.99999166
0.0,0.011917098445595855,0.99995756
0.0,0.012953367875647668,0.999956
0.0,0.049740932642487044,0.9998394
0.0,0.05077720207253886,0.9998386
0.0,0.05284974093264249,0.99983346
0.0,0.0538860103626943,0.99983203
0.0,0.05544041450777202,0.99982905
0.0,0.05647668393782383,0.9998286
0.0,0.06632124352331606,0.9997918
0.0,0.06735751295336788,0.9997892
0.0,0.07305699481865285,0.99977523
0.0,0.07409326424870466,0.9997739
0.0,0.08082901554404145,0.9997497
0.0,0.08186528497409326,0.999749
0.0,0.08238341968911918,0.9997482
0.0,0.08341968911917098,0.9997472
0.0,0.1077720207253886,0.99966097
0.0,0.10880829015544041,0.9996598
0.0,0.13989637305699482,0.9995552
0.0,0.14093264248704662,0.99955183
0.0,0.16062176165803108,0.9994978
0.0,0.1616580310880829,0.99949586
0.0,0.18808290155440416,0.9993837
0.0,0.18911917098445596,0.99938333
0.0,0.24766839378238342,0.99909604
0.0,0.24870466321243523,0.99909353
0.0,0.24922279792746113,0.99909306
0.0,0.25025906735751297,0.99909127
0.0,0.27357512953367874,0.99898845
0.0,0.27461139896373055,0.9989851
0.0,0.27979274611398963,0.99896276
0.0,0.28082901554404144,0.99895453
0.0,0.2849740932642487,0.9989348
2.713343408881858e-06,0.2854922279792746,0.9989342
2.713343408881858e-06,0.3621761658031088,0.9985429
2.713343408881858e-06,0.3632124352331606,0.99853754
2.713343408881858e-06,0.36476683937823834,0.99853253
2.713343408881858e-06,0.36580310880829014,0.9985287
2.713343408881858e-06,0.4383419689119171,0.9979728
2.713343408881858e-06,0.43937823834196893,0.9979697
2.713343408881858e-06,0.4533678756476684,0.99783224
5.426686817763716e-06,0.4533678756476684,0.99782676
5.426686817763716e-06,0.4544041450777202,0.9978264
5.426686817763716e-06,0.46839378238341967,0.9976847
8.140030226645575e-06,0.46839378238341967,0.9976834
8.140030226645575e-06,0.47046632124352333,0.99767214
8.140030226645575e-06,0.47150259067357514,0.99766135
8.140030226645575e-06,0.47772020725388603,0.99759847
8.140030226645575e-06,0.47875647668393784,0.99758625
8.140030226645575e-06,0.49119170984455957,0.99740183
1.0853373635527432e-05,0.49119170984455957,0.9974017
1.0853373635527432e-05,0.5025906735751295,0.9972481
1.628006045329115e-05,0.5025906735751295,0.9972361
1.628006045329115e-05,0.5077720207253886,0.9971529
1.628006045329115e-05,0.5088082901554404,0.9971456
1.628006045329115e-05,0.5155440414507773,0.9970703
1.628006045329115e-05,0.516580310880829,0.99706346
1.628006045329115e-05,0.5404145077720207,0.99664116
1.899340386217301e-05,0.5404145077720207,0.9966229
1.899340386217301e-05,0.5471502590673575,0.99653107
2.1706747271054865e-05,0.5471502590673575,0.9965119
2.1706747271054865e-05,0.5523316062176166,0.99641824
2.4420090679936724e-05,0.5523316062176166,0.9963845
2.4420090679936724e-05,0.5658031088082901,0.9961061
2.7133434088818584e-05,0.5658031088082901,0.9961054
2.7133434088818584e-05,0.5709844559585492,0.99592555
2.9846777497700443e-05,0.5709844559585492,0.9959149
2.9846777497700443e-05,0.5906735751295337,0.99529725
3.25601209065823e-05,0.5906735751295337,0.9952649
3.25601209065823e-05,0.5968911917098445,0.99515617
3.5273464315464155e-05,0.5968911917098445,0.9951332
3.5273464315464155e-05,0.5984455958549223,0.995089
3.798680772434602e-05,0.5984455958549223,0.99504143
3.798680772434602e-05,0.6067357512953367,0.9947588
4.0700151133227874e-05,0.6067357512953367,0.99473083
4.0700151133227874e-05,0.6082901554404145,0.99466527
4.341349454210973e-05,0.6082901554404145,0.9946555
4.341349454210973e-05,0.6113989637305699,0.9945913
